time,generation biomass,generation hydro water reservoir,generation fossil hard coal,generation nuclear,generation solar
2015-01-02 14:00:00+00:00,391.0,2984.0,1298.0,7105.0,3619.0
2015-01-02 15:00:00+00:00,395.0,3104.0,1184.0,7106.0,3024.0
2015-01-02 16:00:00+00:00,394.0,3102.0,1047.0,7105.0,2053.0
2015-01-02 17:00:00+00:00,410.0,3886.0,1178.0,7106.0,769.0
2015-01-02 18:00:00+00:00,435.0,5553.0,1345.0,7104.0,266.0
2015-01-02 19:00:00+00:00,435.0,5604.0,1354.0,7106.0,165.0
2015-01-02 20:00:00+00:00,437.0,5902.0,1348.0,7107.0,137.0
2015-01-02 21:00:00+00:00,437.0,5347.0,1429.0,7107.0,137.0
2015-01-02 22:00:00+00:00,443.0,4969.0,1432.0,7108.0,137.0
2015-01-02 23:00:00+00:00,478.0,3719.0,1798.0,7096.0,62.0
2015-01-03 00:00:00+00:00,463.0,3482.0,1351.0,7095.0,62.0
2015-01-03 01:00:00+00:00,452.0,3060.0,1258.0,7096.0,61.0
2015-01-03 02:00:00+00:00,454.0,2474.0,1196.0,7098.0,61.0
2015-01-03 03:00:00+00:00,449.0,2266.0,1138.0,7097.0,61.0
2015-01-03 04:00:00+00:00,453.0,2449.0,1180.0,7098.0,61.0
2015-01-03 05:00:00+00:00,458.0,2620.0,1246.0,7099.0,61.0
2015-01-03 06:00:00+00:00,452.0,2559.0,1175.0,7098.0,63.0
2015-01-03 07:00:00+00:00,438.0,3335.0,1249.0,7097.0,233.0
2015-01-03 08:00:00+00:00,433.0,4229.0,1415.0,7097.0,820.0
2015-01-03 09:00:00+00:00,419.0,4827.0,1597.0,7097.0,1665.0
2015-01-03 10:00:00+00:00,431.0,4429.0,1569.0,7093.0,2488.0
2015-01-03 11:00:00+00:00,425.0,4309.0,1379.0,7094.0,3218.0
2015-01-03 12:00:00+00:00,427.0,3784.0,1193.0,7095.0,3695.0
2015-01-03 13:00:00+00:00,421.0,3709.0,1155.0,7093.0,3780.0
2015-01-03 14:00:00+00:00,410.0,3320.0,1137.0,7092.0,3370.0
2015-01-03 15:00:00+00:00,397.0,3919.0,1205.0,7092.0,2692.0
2015-01-03 16:00:00+00:00,393.0,4256.0,1289.0,7095.0,1931.0
2015-01-03 17:00:00+00:00,418.0,4812.0,1399.0,7094.0,1015.0
2015-01-03 18:00:00+00:00,458.0,5753.0,1539.0,7094.0,502.0
2015-01-03 19:00:00+00:00,462.0,5946.0,1555.0,7096.0,355.0
2015-01-03 20:00:00+00:00,462.0,5985.0,1507.0,7095.0,291.0
2015-01-03 21:00:00+00:00,463.0,5519.0,1441.0,7094.0,207.0
2015-01-03 22:00:00+00:00,456.0,4505.0,1291.0,7094.0,117.0
2015-01-03 23:00:00+00:00,391.0,1991.0,2559.0,7086.0,692.0
2015-01-04 00:00:00+00:00,351.0,1867.0,2755.0,7087.0,684.0
2015-01-04 01:00:00+00:00,350.0,1414.0,2678.0,7086.0,648.0
2015-01-04 02:00:00+00:00,366.0,1355.0,2426.0,7086.0,640.0
2015-01-04 03:00:00+00:00,377.0,1431.0,2046.0,7087.0,563.0
2015-01-04 04:00:00+00:00,372.0,1534.0,2248.0,7086.0,372.0
2015-01-04 05:00:00+00:00,377.0,2284.0,2148.0,7085.0,179.0
2015-01-04 06:00:00+00:00,396.0,3188.0,2100.0,7086.0,129.0
2015-01-04 07:00:00+00:00,415.0,3521.0,2143.0,7080.0,357.0
2015-01-04 08:00:00+00:00,418.0,4286.0,2244.0,7080.0,1634.0
2015-01-04 09:00:00+00:00,402.0,3921.0,2209.0,7079.0,3830.0
2015-01-04 10:00:00+00:00,411.0,4023.0,2303.0,7083.0,4937.0
2015-01-04 11:00:00+00:00,403.0,3997.0,2307.0,7085.0,5302.0
2015-01-04 12:00:00+00:00,407.0,3760.0,2353.0,7087.0,5590.0
2015-01-04 13:00:00+00:00,393.0,3077.0,2324.0,7085.0,5668.0
2015-01-04 14:00:00+00:00,400.0,2602.0,2164.0,7083.0,5593.0
2015-01-04 15:00:00+00:00,397.0,2553.0,2049.0,7080.0,5316.0
2015-01-04 16:00:00+00:00,393.0,2925.0,2104.0,7079.0,4907.0
2015-01-04 17:00:00+00:00,402.0,3446.0,2098.0,7078.0,4200.0
2015-01-04 18:00:00+00:00,409.0,4365.0,2075.0,7080.0,2911.0
2015-01-04 19:00:00+00:00,438.0,5936.0,2162.0,7082.0,1392.0
2015-01-04 20:00:00+00:00,436.0,5856.0,2445.0,7084.0,748.0
2015-01-04 21:00:00+00:00,424.0,4684.0,2169.0,7085.0,696.0
2015-01-04 22:00:00+00:00,403.0,3776.0,1770.0,7088.0,672.0
2015-01-04 23:00:00+00:00,373.0,2086.0,4247.0,4036.0,691.0
2015-01-05 00:00:00+00:00,363.0,2458.0,3112.0,4029.0,668.0
2015-01-05 01:00:00+00:00,359.0,2140.0,2580.0,4028.0,662.0
2015-01-05 02:00:00+00:00,346.5,2335.5,2576.5,4029.0,616.0
2015-01-05 03:00:00+00:00,334.0,2531.0,2573.0,4030.0,570.0
2015-01-05 04:00:00+00:00,338.0,2439.0,2551.0,4031.0,428.0
2015-01-05 05:00:00+00:00,341.0,2583.0,2351.0,4031.0,243.0
2015-01-05 06:00:00+00:00,343.0,2740.0,2202.0,4031.0,155.0
2015-01-05 07:00:00+00:00,345.0,2480.0,2138.0,4030.0,500.0
2015-01-05 08:00:00+00:00,369.0,2575.0,2239.0,4028.0,1333.0
2015-01-05 09:00:00+00:00,374.0,2286.0,2545.0,4011.0,2482.0
2015-01-05 10:00:00+00:00,376.0,2209.0,2422.0,3829.0,3339.0
2015-01-05 11:00:00+00:00,375.14285714285717,2201.4285714285716,2392.714285714286,3812.285714285714,3282.5714285714284
2015-01-05 12:00:00+00:00,374.2857142857143,2193.8571428571427,2363.4285714285716,3795.5714285714284,3226.1428571428573
2015-01-05 13:00:00+00:00,373.42857142857144,2186.285714285714,2334.1428571428573,3778.8571428571427,3169.714285714286
2015-01-05 14:00:00+00:00,372.57142857142856,2178.714285714286,2304.8571428571427,3762.1428571428573,3113.285714285714
2015-01-05 15:00:00+00:00,371.7142857142857,2171.1428571428573,2275.5714285714284,3745.4285714285716,3056.857142857143
2015-01-05 16:00:00+00:00,370.85714285714283,2163.5714285714284,2246.285714285714,3728.714285714286,3000.4285714285716
2015-01-05 17:00:00+00:00,370.0,2156.0,2217.0,3712.0,2944.0
2015-01-05 18:00:00+00:00,375.0,1843.0,2541.0,3743.0,1971.0
2015-01-05 19:00:00+00:00,371.0,2291.0,2509.0,3773.0,958.0
2015-01-05 20:00:00+00:00,370.0,3732.0,2804.0,3803.0,605.0
2015-01-05 21:00:00+00:00,362.0,3613.0,2891.0,3834.0,518.0
2015-01-05 22:00:00+00:00,370.0,3044.0,2958.0,3868.0,394.0
2015-01-05 23:00:00+00:00,535.0,1218.0,5130.0,4826.0,626.0
2015-01-06 00:00:00+00:00,532.0,1620.0,4990.0,4828.0,624.0
2015-01-06 01:00:00+00:00,530.0,1862.0,5207.0,4830.0,616.0
2015-01-06 02:00:00+00:00,532.0,1834.0,5418.0,4846.0,582.0
2015-01-06 03:00:00+00:00,541.0,1758.0,5497.0,4895.0,576.0
2015-01-06 04:00:00+00:00,545.0,1793.0,5753.0,4903.0,499.0
2015-01-06 05:00:00+00:00,540.0,1435.0,6154.0,4911.0,415.0
2015-01-06 06:00:00+00:00,546.0,2369.0,6527.0,4924.0,412.0
2015-01-06 07:00:00+00:00,546.0,3860.0,6774.0,4930.0,1168.0
2015-01-06 08:00:00+00:00,544.0,4119.0,6973.0,4942.0,3018.0
2015-01-06 09:00:00+00:00,543.0,4449.0,7101.0,4952.0,4129.0
2015-01-06 10:00:00+00:00,539.0,4584.0,7198.0,4950.0,4642.0
2015-01-06 11:00:00+00:00,547.0,4579.0,7215.0,4956.0,4976.0
2015-01-06 12:00:00+00:00,538.0,4335.0,7210.0,4959.0,5044.0
2015-01-06 13:00:00+00:00,534.0,4167.0,7159.0,4953.0,4887.0
2015-01-06 14:00:00+00:00,537.0,3084.0,7067.0,4956.0,4641.0
2015-01-06 15:00:00+00:00,537.0,3290.0,6830.0,4955.0,4279.0
2015-01-06 16:00:00+00:00,532.0,3454.0,6873.0,4799.0,3824.0
2015-01-06 17:00:00+00:00,533.0,3349.0,7100.0,4186.0,3132.0
2015-01-06 18:00:00+00:00,528.0,3119.0,7172.0,4368.0,2383.0
2015-01-06 19:00:00+00:00,536.0,3009.0,7194.0,4657.0,1586.0
2015-01-06 20:00:00+00:00,535.0,3921.0,7264.0,4878.0,891.0
2015-01-06 21:00:00+00:00,531.0,3834.0,7279.0,4961.0,696.0
2015-01-06 22:00:00+00:00,528.0,2778.0,7227.0,4959.0,669.0
2015-01-06 23:00:00+00:00,499.0,1982.0,7996.0,6000.0,1280.0
2015-01-07 00:00:00+00:00,502.0,1483.0,7838.0,5995.0,1253.0
2015-01-07 01:00:00+00:00,491.0,1003.0,8048.0,5997.0,1231.0
2015-01-07 02:00:00+00:00,495.0,626.0,7837.0,5998.0,1223.0
2015-01-07 03:00:00+00:00,503.0,563.0,7827.0,6003.0,1189.0
2015-01-07 04:00:00+00:00,505.0,610.0,7910.0,6005.0,1142.0
2015-01-07 05:00:00+00:00,506.0,1363.0,7856.0,6003.0,1043.0
2015-01-07 06:00:00+00:00,505.0,2280.0,7855.0,6000.0,979.0
2015-01-07 07:00:00+00:00,510.0,3192.0,7982.0,5997.0,1336.0
2015-01-07 08:00:00+00:00,501.0,4420.0,7991.0,5996.0,2121.0
2015-01-07 09:00:00+00:00,494.0,3674.0,7979.0,5989.0,2841.0
2015-01-07 10:00:00+00:00,498.0,3289.0,7982.0,5974.0,3556.0
2015-01-07 11:00:00+00:00,491.0,3131.0,8005.0,5971.0,3756.0
2015-01-07 12:00:00+00:00,495.0,2709.0,7975.0,5969.0,3639.0
2015-01-07 13:00:00+00:00,501.0,1912.0,7839.0,5964.0,4133.0
2015-01-07 14:00:00+00:00,498.0,1479.0,7782.0,5961.0,4896.0
2015-01-07 15:00:00+00:00,491.0,1191.0,7807.0,5956.0,4647.0
2015-01-07 16:00:00+00:00,495.0,1458.0,7866.0,5969.0,4184.0
2015-01-07 17:00:00+00:00,497.0,1965.0,8058.0,5978.0,3631.0
2015-01-07 18:00:00+00:00,483.0,2384.0,8129.0,5986.0,2772.0
2015-01-07 19:00:00+00:00,482.0,2566.0,8163.0,5981.0,2013.0
2015-01-07 20:00:00+00:00,481.0,2622.0,8002.0,5985.0,1193.0
2015-01-07 21:00:00+00:00,481.0,2412.0,7853.0,5984.0,636.0
2015-01-07 22:00:00+00:00,479.0,1414.0,7601.0,5987.0,573.0
2015-01-07 23:00:00+00:00,546.0,831.0,7280.0,6741.0,433.0
2015-01-08 00:00:00+00:00,516.0,942.0,6774.0,6741.0,391.0
2015-01-08 01:00:00+00:00,508.0,882.0,6349.0,6742.0,352.0
2015-01-08 02:00:00+00:00,509.0,934.0,6078.0,6743.0,328.0
2015-01-08 03:00:00+00:00,518.0,799.0,5984.0,6744.0,327.0
2015-01-08 04:00:00+00:00,528.0,781.0,5817.0,6748.0,320.0
2015-01-08 05:00:00+00:00,533.0,943.0,5785.0,6750.0,265.0
2015-01-08 06:00:00+00:00,525.0,888.0,5570.0,6748.0,223.0
2015-01-08 07:00:00+00:00,529.0,1147.0,6289.0,6747.0,708.0
2015-01-08 08:00:00+00:00,534.0,965.0,6720.0,6749.0,2225.0
2015-01-08 09:00:00+00:00,533.0,1153.0,7301.0,6749.0,3943.0
2015-01-08 10:00:00+00:00,531.0,1333.0,7468.0,6744.0,4514.0
2015-01-08 11:00:00+00:00,522.0,1795.0,7503.0,6741.0,4926.0
2015-01-08 12:00:00+00:00,509.0,2275.0,7551.0,6739.0,5067.0
2015-01-08 13:00:00+00:00,504.0,2198.0,7542.0,6732.0,5092.0
2015-01-08 14:00:00+00:00,506.0,1776.0,7517.0,6730.0,5019.0
2015-01-08 15:00:00+00:00,500.0,1445.0,7462.0,6729.0,4803.0
2015-01-08 16:00:00+00:00,502.0,1478.0,7437.0,6728.0,4507.0
2015-01-08 17:00:00+00:00,514.0,1236.0,7345.0,6717.0,4010.0
2015-01-08 18:00:00+00:00,513.0,1435.0,7419.0,6727.0,3321.0
2015-01-08 19:00:00+00:00,511.0,2430.0,7224.0,6736.0,2089.0
2015-01-08 20:00:00+00:00,516.0,3302.0,7191.0,6748.0,957.0
2015-01-08 21:00:00+00:00,519.0,3461.0,7012.0,6762.0,721.0
2015-01-08 22:00:00+00:00,515.0,2426.0,6549.0,6760.0,691.0
2015-01-08 23:00:00+00:00,489.0,1930.0,7695.0,6846.0,39.0
2015-01-09 00:00:00+00:00,483.0,1819.0,7691.0,6852.0,38.0
2015-01-09 01:00:00+00:00,485.0,1347.0,7435.0,6854.0,37.0
2015-01-09 02:00:00+00:00,477.0,943.0,7544.0,6855.0,37.0
2015-01-09 03:00:00+00:00,480.0,655.0,7375.0,6858.0,36.0
2015-01-09 04:00:00+00:00,482.0,682.0,7442.0,6862.0,41.0
2015-01-09 05:00:00+00:00,477.0,1561.0,7465.0,6861.0,45.0
2015-01-09 06:00:00+00:00,477.0,1801.0,7674.0,6864.0,58.0
2015-01-09 07:00:00+00:00,495.0,1932.0,7654.0,6866.0,317.0
2015-01-09 08:00:00+00:00,493.0,2736.0,7801.0,6866.0,1107.0
2015-01-09 09:00:00+00:00,490.0,3238.0,7866.0,6863.0,2133.0
2015-01-09 10:00:00+00:00,490.0,2941.0,7645.0,6860.0,3193.0
2015-01-09 11:00:00+00:00,487.0,2898.0,7610.0,6855.0,3932.0
2015-01-09 12:00:00+00:00,492.0,3092.0,7710.0,6853.0,4156.0
2015-01-09 13:00:00+00:00,490.0,2380.0,7738.0,6855.0,4285.0
2015-01-09 14:00:00+00:00,486.0,2283.0,7777.0,6857.0,4135.0
2015-01-09 15:00:00+00:00,480.0,2083.0,7817.0,6855.0,3883.0
2015-01-09 16:00:00+00:00,487.0,1983.0,7645.0,6858.0,3513.0
2015-01-09 17:00:00+00:00,481.0,1629.0,7179.0,6858.0,3253.0
2015-01-09 18:00:00+00:00,470.0,1789.0,6873.0,6860.0,2403.0
2015-01-09 19:00:00+00:00,468.0,2676.0,6633.0,6862.0,1060.0
2015-01-09 20:00:00+00:00,476.0,3161.0,7175.0,6862.0,530.0
2015-01-09 21:00:00+00:00,477.0,2007.0,7443.0,6867.0,444.0
2015-01-09 22:00:00+00:00,477.0,1037.0,7447.0,6849.0,386.0
2015-01-09 23:00:00+00:00,537.0,2092.0,7380.0,6012.0,384.0
2015-01-10 00:00:00+00:00,537.0,1522.0,7378.0,6014.0,167.0
2015-01-10 01:00:00+00:00,544.0,787.0,7369.0,6014.0,102.0
2015-01-10 02:00:00+00:00,553.0,696.0,7318.0,6014.0,103.0
2015-01-10 03:00:00+00:00,559.0,617.0,7337.0,6014.0,102.0
2015-01-10 04:00:00+00:00,564.0,746.0,7357.0,6014.0,102.0
2015-01-10 05:00:00+00:00,561.0,1643.0,7242.0,6013.0,102.0
2015-01-10 06:00:00+00:00,559.0,3923.0,7236.0,6010.0,103.0
2015-01-10 07:00:00+00:00,566.0,4236.0,7260.0,6010.0,233.0
2015-01-10 08:00:00+00:00,564.0,4410.0,7419.0,6005.0,1209.0
2015-01-10 09:00:00+00:00,563.0,4438.0,7347.0,6004.0,2927.0
2015-01-10 10:00:00+00:00,547.0,4006.0,7333.0,6003.0,4515.0
2015-01-10 11:00:00+00:00,554.0,3769.0,7368.0,6003.0,5044.0
2015-01-10 12:00:00+00:00,560.0,3092.0,7380.0,5879.0,5107.0
2015-01-10 13:00:00+00:00,565.0,2314.0,7409.0,6007.0,4900.0
2015-01-10 14:00:00+00:00,561.0,2074.0,7403.0,6005.0,4463.0
2015-01-10 15:00:00+00:00,556.0,1941.0,7314.0,5997.0,4215.0
2015-01-10 16:00:00+00:00,564.0,1661.0,7246.0,6000.0,3756.0
2015-01-10 17:00:00+00:00,558.0,1422.0,6732.0,6001.0,2857.0
2015-01-10 18:00:00+00:00,565.0,3529.0,6632.0,6002.0,1303.0
2015-01-10 19:00:00+00:00,577.0,4241.0,6937.0,6004.0,633.0
2015-01-10 20:00:00+00:00,562.0,4240.0,7119.0,6005.0,510.0
2015-01-10 21:00:00+00:00,575.0,2362.0,7025.0,6007.0,497.0
2015-01-10 22:00:00+00:00,578.0,1022.0,7088.0,6008.0,466.0
2015-01-10 23:00:00+00:00,525.0,1549.0,4352.0,5041.0,26.0
2015-01-11 00:00:00+00:00,515.0,1001.0,3416.0,5039.0,25.0
2015-01-11 01:00:00+00:00,510.0,954.0,2719.0,5041.0,25.0
2015-01-11 02:00:00+00:00,500.0,726.0,2553.0,5042.0,25.0
2015-01-11 03:00:00+00:00,503.0,780.0,2460.0,5039.0,25.0
2015-01-11 04:00:00+00:00,499.0,529.0,2335.0,5040.0,25.0
2015-01-11 05:00:00+00:00,501.0,521.0,2187.0,5041.0,23.0
2015-01-11 06:00:00+00:00,496.0,599.0,1855.0,5043.0,35.0
2015-01-11 07:00:00+00:00,495.0,532.0,1779.0,5043.0,394.0
2015-01-11 08:00:00+00:00,516.0,787.0,1869.0,5044.0,1228.0
2015-01-11 09:00:00+00:00,547.0,714.0,1811.0,5042.0,2045.0
2015-01-11 10:00:00+00:00,539.0,564.0,1847.0,5042.0,2423.0
2015-01-11 11:00:00+00:00,554.0,863.0,1910.0,5043.0,2437.0
2015-01-11 12:00:00+00:00,550.0,773.0,1928.0,5042.0,2022.0
2015-01-11 13:00:00+00:00,546.0,681.0,1857.0,5042.0,1630.0
2015-01-11 14:00:00+00:00,542.0,788.0,1899.0,5042.0,1334.0
2015-01-11 15:00:00+00:00,544.0,1009.0,1859.0,5042.0,860.0
2015-01-11 16:00:00+00:00,553.0,909.0,1982.0,5042.0,254.0
2015-01-11 17:00:00+00:00,570.0,1445.0,2327.0,5041.0,57.0
2015-01-11 18:00:00+00:00,567.0,1753.0,2424.0,5043.0,54.0
2015-01-11 19:00:00+00:00,559.0,1741.0,2193.0,5043.0,55.0
2015-01-11 20:00:00+00:00,545.0,1660.0,2114.0,5045.0,34.0
2015-01-11 21:00:00+00:00,554.0,1512.0,1960.0,5045.0,31.0
2015-01-11 22:00:00+00:00,537.0,759.0,1727.0,5046.0,31.0
2015-01-11 23:00:00+00:00,468.0,2221.0,7023.0,5370.0,44.0
2015-01-12 00:00:00+00:00,444.0,1075.0,7141.0,5398.0,42.0
2015-01-12 01:00:00+00:00,425.0,692.0,7128.0,5428.0,42.0
2015-01-12 02:00:00+00:00,446.0,459.0,7102.0,5452.0,42.0
2015-01-12 03:00:00+00:00,463.0,471.0,7019.0,5452.0,42.0
2015-01-12 04:00:00+00:00,467.0,500.0,7060.0,5452.0,42.0
2015-01-12 05:00:00+00:00,470.0,1177.0,7071.0,5459.0,42.0
2015-01-12 06:00:00+00:00,464.0,3669.0,7159.0,5465.0,45.0
2015-01-12 07:00:00+00:00,478.0,5393.0,7140.0,5464.0,157.0
2015-01-12 08:00:00+00:00,484.0,4942.0,7148.0,5465.0,1104.0
2015-01-12 09:00:00+00:00,483.0,4414.0,7214.0,5464.0,2190.0
2015-01-12 10:00:00+00:00,479.0,3815.0,7290.0,5469.0,3012.0
2015-01-12 11:00:00+00:00,479.0,3429.0,7311.0,5466.0,3262.0
2015-01-12 12:00:00+00:00,479.0,3114.0,7419.0,5468.0,3208.0
2015-01-12 13:00:00+00:00,474.0,2553.0,7389.0,5467.0,3027.0
2015-01-12 14:00:00+00:00,474.0,2572.0,7403.0,5467.0,2630.0
2015-01-12 15:00:00+00:00,482.0,2985.0,7443.0,5468.0,1615.0
2015-01-12 16:00:00+00:00,483.0,4305.0,7430.0,5469.0,422.0
2015-01-12 17:00:00+00:00,488.0,5946.0,7369.0,5470.0,86.0
2015-01-12 18:00:00+00:00,488.0,5661.0,7374.0,5471.0,63.0
2015-01-12 19:00:00+00:00,488.0,5548.0,7372.0,5471.0,56.0
2015-01-12 20:00:00+00:00,491.0,4841.0,7372.0,5471.0,44.0
2015-01-12 21:00:00+00:00,489.0,4022.0,7369.0,5472.0,42.0
2015-01-12 22:00:00+00:00,487.0,2357.0,7273.0,5473.0,42.0
2015-01-12 23:00:00+00:00,514.0,1152.0,6070.0,7104.0,32.0
2015-01-13 00:00:00+00:00,516.0,748.0,5834.0,7102.0,32.0
2015-01-13 01:00:00+00:00,519.0,502.0,5456.0,7103.0,32.0
2015-01-13 02:00:00+00:00,515.0,493.0,5421.0,7103.0,32.0
2015-01-13 03:00:00+00:00,515.0,584.0,5325.0,7102.0,32.0
2015-01-13 04:00:00+00:00,515.0,586.0,5466.0,7103.0,32.0
2015-01-13 05:00:00+00:00,520.0,792.0,5735.0,7104.0,32.0
2015-01-13 06:00:00+00:00,518.0,1918.0,6706.0,7102.0,37.0
2015-01-13 07:00:00+00:00,520.0,3437.0,7228.0,7102.0,56.0
2015-01-13 08:00:00+00:00,527.0,4103.0,7103.0,7101.0,516.0
2015-01-13 09:00:00+00:00,526.0,4118.0,7075.0,7101.0,1475.0
2015-01-13 10:00:00+00:00,502.0,4358.0,6823.0,7102.0,2284.0
2015-01-13 11:00:00+00:00,505.0,3403.0,6933.0,7101.0,2857.0
2015-01-13 12:00:00+00:00,517.0,2513.0,7080.0,7099.0,3217.0
2015-01-13 13:00:00+00:00,517.0,1298.0,7024.0,7099.0,3253.0
2015-01-13 14:00:00+00:00,519.0,1290.0,7030.0,7098.0,3084.0
2015-01-13 15:00:00+00:00,533.0,1538.0,7022.0,7098.0,2475.0
2015-01-13 16:00:00+00:00,538.0,2660.0,7085.0,7097.0,1187.0
2015-01-13 17:00:00+00:00,535.0,4544.0,7068.0,7098.0,303.0
2015-01-13 18:00:00+00:00,548.0,5834.0,7241.0,7098.0,98.0
2015-01-13 19:00:00+00:00,548.0,5939.0,7257.0,7098.0,80.0
2015-01-13 20:00:00+00:00,546.0,5030.0,7274.0,7097.0,44.0
2015-01-13 21:00:00+00:00,537.0,2885.0,7231.0,7099.0,44.0
2015-01-13 22:00:00+00:00,532.0,1883.0,7192.0,7099.0,35.0
2015-01-13 23:00:00+00:00,528.0,1290.0,6948.0,7098.0,28.0
2015-01-14 00:00:00+00:00,531.0,539.0,6121.0,7099.0,28.0
2015-01-14 01:00:00+00:00,535.0,517.0,5281.0,7100.0,27.0
2015-01-14 02:00:00+00:00,530.0,601.0,5202.0,7099.0,27.0
2015-01-14 03:00:00+00:00,524.0,602.0,5267.0,7098.0,27.0
2015-01-14 04:00:00+00:00,524.0,805.0,5587.0,7098.0,27.0
2015-01-14 05:00:00+00:00,532.0,1226.0,6404.0,7096.0,27.0
2015-01-14 06:00:00+00:00,540.0,3538.0,7072.0,7097.0,32.0
2015-01-14 07:00:00+00:00,539.0,5459.0,7498.0,7097.0,39.0
2015-01-14 08:00:00+00:00,535.0,5677.0,7571.0,7097.0,411.0
2015-01-14 09:00:00+00:00,507.0,5342.0,7581.0,7098.0,1258.0
2015-01-14 10:00:00+00:00,530.0,5628.0,7230.0,7099.0,1960.0
2015-01-14 11:00:00+00:00,534.0,4730.0,7472.0,7099.0,2480.0
2015-01-14 12:00:00+00:00,533.0,4199.0,7568.0,7099.0,2688.0
2015-01-14 13:00:00+00:00,528.0,2791.0,7573.0,7099.0,2683.0
2015-01-14 14:00:00+00:00,516.0,2188.0,7557.0,7098.0,2420.0
2015-01-14 15:00:00+00:00,518.0,2937.0,7568.0,7099.0,2003.0
2015-01-14 16:00:00+00:00,525.0,3782.0,7593.0,7099.0,905.0
2015-01-14 17:00:00+00:00,531.0,4836.0,7589.0,7099.0,213.0
2015-01-14 18:00:00+00:00,531.0,5574.0,7602.0,7100.0,112.0
2015-01-14 19:00:00+00:00,540.0,5207.0,7578.0,7101.0,79.0
2015-01-14 20:00:00+00:00,527.0,3599.0,7560.0,7102.0,32.0
2015-01-14 21:00:00+00:00,504.0,3038.0,7474.0,7102.0,31.0
2015-01-14 22:00:00+00:00,501.0,1374.0,6948.0,7102.0,31.0
2015-01-14 23:00:00+00:00,499.0,972.0,6296.0,7105.0,31.0
2015-01-15 00:00:00+00:00,494.0,993.0,5599.0,7103.0,31.0
2015-01-15 01:00:00+00:00,464.0,694.0,4801.0,7103.0,31.0
2015-01-15 02:00:00+00:00,464.0,604.0,4487.0,7103.0,31.0
2015-01-15 03:00:00+00:00,463.0,555.0,4427.0,7104.0,31.0
2015-01-15 04:00:00+00:00,465.0,520.0,4933.0,7104.0,31.0
2015-01-15 05:00:00+00:00,496.0,730.0,5435.0,7102.0,31.0
